order,name,description,privacy_policy,genre,age,origin_url
24,"DARKNESS ROLLERCOASTER - HALLOWEEN EDITION (Simplified Chinese, English, Japanese)","Rollercoaster Darkness - Ultimate Shooter Edition is an amazing adventure where action is ubiquitous!Shoot enemies with your PS Moves or DUALSHOCK®4 (3D Rudder Compatible), block their attacks with your shield or slow down time.But beware of the pitfalls and obstacles you will need to avoid when moving your vehicle at any time!Activate your special vision to recover all the secrets and defeat the final boss ...Compare your score with your friends and win the best shooter trophies!Do you want to live a fantastic experience that will hook you to your seat?Do you like action, emotions and sensations?Try Rollercoaster Darkness - The Ultimate Shooter Edition!+ This Halloween edition allow you to shoot with the both hand for even more competitive challenges!+ This version include ""Anniversary Edition"" with more than 20 musics await you in a level specially designed to listen to them or the decorations light up to the rhythm of the musics.Warning : this DLC does not include the full game which must be purchased separately.In addition, on PS5™ consoles: PlayStation Camera adaptor for PS Camera is required (no purchase necessary) go to www.playstation.com/camera-adaptor; for the best PlayStation®VR experience on PS5™ we recommend using a DUALSHOCK®4 wireless controller.",http://www.crvr3d.com/,"Action, Arcade",7,https://store.playstation.com/en-sg/product/EP4730-CUSA14845_00-1362906327724752
1,SURV1V3 (English),"This product entitles you to download both the digital PS4™ version and the digital PS5™ version of this game.Forget what you have played so far, SURV1V3 is a unique realistic zombie survival fps game expressly designed for VIRTUAL REALITY that will let you test your survival skills. Play the thrilling story in single mode or coop with your friend (up to 4 players) and survive the apocalypse!INFECTION DAY 407It has been over a year since an unknown Seadornavirus released the V1V3 Virus. The first cases of the V1V3 Virus were report on the 14th November 2018, spreading it's deadly effects among world killing billions of people. Will humanity survive V1V3? Someone is supposing a cure can be found…Fire, run, hide yourself, lockpick, pretend to be a zombie, be smart, plan your moves and coordinate with your teammates!SURV1V3 is this and much more… starting from the infamous city of Santa Carla, narrow rotten sewers… endless creepy scenarios, scary situations and challenging tasks, until you meet the mysterious man who may be able to save the world.FEATURESHow does it feel to fight side-by-side with someone, knowing that your life depends on him because you know you can’t do it alone? Will you be able to find your way knowing that the right one means salvation, while the wrong one means certain doom?In SURV1V3 you will have a chance to face your answers, but you’re warned… Reality is damn scary!UP TO 4 ONLINE PLAYERS COOPUnexpected cooperative and pervasive dynamics will take place when living the experience together with your friend, making the challenge even more exciting.HUGE FREE ROAMING MAPSHuge and fully explorable levels, including many buildings that are fully explorable to scavenging loot, pushing the player to a nonlinear approach to gameplay;3 GAME MODESStory: more than 18 hours of gameplay to complete the thrilling story!Trials: classic horde, defense mode, escape modeSurvival: leveling, crafting, feeding, fighting!FULLY SIMULATED WEAPONSRifles, machine guns, snipers, shotguns, handguns, bow: real bullet physics, reload gestures, realistic recoil & bloom effects, manually attach and remove weapons accessories.IMMERSIVE REALISMNo HUD at all to be as immersive as possible, any option, dialogue, interaction menu is managed through a realistic military tablet. Fully simulated player’s body, true life weapons reload, realistic zombie perception system, friendly fire.",,Horror,18,https://store.playstation.com/en-sg/product/UP7324-PPSA14256_00-0405253012333808
8,A Fungus In My Garden (English),"Would you dare face ‘something’ way bigger than you? Would you dare become the hero the Kingdom needs?A Fungus In My Garden is a FPS where you have to fight giant ‘Seeders’ and the mutant insects they summon.You will have two magical weapons and you’ll use them to defend yourself from their attacks and to fight in melee and range. Learn the power of your weapons and take them to the limit. Submerge yourself in an adventure full of adrenaline. Discover a beautifully creepy and dangerous fantasy world and fight for the Kingdom, it’s people and your own life in a breathtaking episodic game.Watch the innovatively narrated story with comic book style illustrations, micro animations and exclusive music and SFX that enhance the art and storytelling.Are you ready? Do you dare take up the task and transform yourself from player to hero?In addition, on PS5™ consoles: PlayStation Camera adaptor for PS Camera is required (no purchase necessary) go to www.playstation.com/camera-adaptor",,"Shooter, Action",7,https://store.playstation.com/en-sg/product/UP5737-CUSA29089_00-3308644092517399
29,"Winds & Leaves (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Stranded in a barren landscape, you are the only being capable of mastering the ancient art of growing vegetation. Journey across the Steppe to gather ancient dormant varieties. Learn to read the signs of the various climates, awaken old landmarks, and grow your own forests in this VR flora builder. · A flora builder: Grow a verdant forest from nothing and create different tree species to adapt to the various biomes and weather. · A world's past to uncover: Explore an intriguing ever-changing world on your stilts, a locomotion system specifically made for PlayStation®VR. Stumble on ancient structures and awaken them to discover their secrets. · A VR Symphony: Enjoy a stunning VR experience featuring player-grown trees backed by a living soundtrack that reacts to the world around you.In addition, on PS5™ consoles: PlayStation Camera adaptor for PS Camera is required (no purchase necessary) go to Playstation.com/camera-adaptor.",,"Adventure, Simulation",3,https://store.playstation.com/en-sg/product/UP4773-CUSA27803_00-9373751577785800
27,"Horror Adventure (PS4 & PSVR) Edition (English, Japanese, Traditional Chinese)","Horror Adventure is a interactive experience set in a procedurally generated haunted house. You're a paranormal investigator and you find yourself exploring what appears to be a old abandoned manor.You will be able to interact with basic items and limited tools at your disposal. The procedurally generated random house will create random locations and scares for you. So make sure to keep your eyes open at all the times, put your headphones on and enjoy the game!Features:1. Fully immersive interactive gameplay which allow the player to control various handheld elements.2. Procedurally generated random house to increase the scare factor and replayability.3. Featuring different demonic entities, each designed specifically according to the procedural nature of the levels.4. Save/Load feature so that you can take a breather in between.5. This Bundle supports both PS4 and PSVR Version of the Game.In addition, on PS5™ consoles: PlayStation Camera adaptor for PS Camera is required (no purchase necessary) go to Playstation.com/camera-adaptor; for the best PlayStation®VR experience on PS5™ we recommend using a DUALSHOCK®4 wireless controller.",,"Action, Horror",16,https://store.playstation.com/en-sg/product/EP8934-CUSA25974_00-0649144169063642
3,"HUMANITY (English, Japanese)","A unique blend of puzzle-solving and action-platforming, HUMANITY puts the fate of all mankind in your hands. Er, paws. Did we mention you’re a dog? You are a Shiba Inu charged with commanding massive, marching crowds to jump, turn, push, float, shoot, and climb their way to salvation. Guide the masses through 90-plus stages filled with obstacles, enemies, puzzles, unlockable skills, and wild boss fights in the narrative campaign, or browse a wide array of user-made levels (or build your own!) crafted via the super easy-to-use in-game Stage Creator.Whether on your standard display or in the optional VR Mode, watch as breathtaking swarms of people follow your commands to the exit, all in HUMANITY’s stark iconic style, courtesy of director and celebrated visual designer Yugo Nakamura and famed game creator Tetsuya Mizuguchi (Rez Infinite, Tetris Effect: Connected).",,"Action, Puzzle",7,https://store.playstation.com/en-sg/product/HP0797-PPSA03790_00-HUMANITYGAME0001
28,YOU ARE BEING FOLLOWED (English),"Based on a BAFTA YGD award-winning concept and brought to life by Uncommon Chocolate, YOU ARE BEING FOLLOWED explores the perspective of Emma - a blind woman wrestling with the unknown. Emma is joined by her ageing guide dog turned emotional support animal, Samuel, as the foundation of their relationship is called into question. A brief, audio-driven game exclusively for PlayStation®VR, the title focuses on tone - existing largely as a mood piece. The game’s art-style employs abstract representations to illustrate the world that the visually impaired protagonist imagines around her.In addition, on PS5™ consoles: PlayStation Camera adaptor for PS Camera is required (no purchase necessary) go to www.playstation.com/camera-adaptor; for the best PlayStation®VR experience on PS5™ we recommend using a DUALSHOCK®4 wireless controller.",https://www.abertay.ac.uk/legal/you-are-being-followed-privacy-policy/,Adventure,12,https://store.playstation.com/en-sg/product/UP4339-CUSA29268_00-YABFABERTAY00000
15,"ALVO VR (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Squad up with new or existing friends and utilize the in-game voice chat to strategize your next move. Are you going to hold one location or attack the enemy in a run-and-gun style? The choice is yours. Filled with heated combat, explosions, and tactical gameplay there’s something here for everyone. Enlist in the ALVO army today!  KEY FEATURESINSTANT ACTION- The implementation of a dedicated server and dynamic empty-space bot filled lobby system,  you are in the battle within seconds after joining friends for a smooth and constant state of play. FREEDOM OF MOVEMENT-ALVO allows you to fire weapons and launch grenades while running, jumping, climbing, crouching, sliding, and even while prone, creating a VR experience like no other. CUSTOMIZATION-With its large array of options customization, you can manipulate the gun offset to your personal specifications. Change your HUD to show or hide visual information from the well-integrated UI, or play around with the audio and comfort settings to give you the best immersive experienceIn addition, on PS5™ consoles: PlayStation Camera adaptor for PS Camera is required (no purchase necessary) go to www.playstation.com/camera-adaptor; for the best PlayStation®VR experience on PS5™ we recommend using a DUALSHOCK®4 wireless controller.",,Shooter,16,https://store.playstation.com/en-sg/product/EP5971-CUSA25903_00-5837820299080019
30,"Horror Adventure VR (English, Japanese, Traditional Chinese)","Horror Adventure VR is a interactive experience set in a procedurally generated haunted house. You're a paranormal investigator and you find yourself exploring what appears to be a old abandoned manor.You will be able to interact with basic items and limited tools at your disposal. The procedurally generated random house will create random locations and scares for you. So make sure to keep your eyes open at all the times, put your headphones on and enjoy the game!Features:1. Immersive First person interactive gameplay which allow the player to control various handheld elements.2. Procedurally generated random house to increase the scare factor and replayability.3. Featuring different demonic entities, each designed specifically according to the procedural nature of the levels.4. Save/Load feature so that you can take a breather in between.WARNING: This experience uses Jump Scares! You have been warned!In addition, on PS5™ consoles: PlayStation Camera adaptor for PS Camera is required (no purchase necessary) go to www.playstation.com/camera-adaptor; for the best PlayStation®VR experience on PS5™ we recommend using a DUALSHOCK®4 wireless controller.",,"Adventure, Horror",16,https://store.playstation.com/en-sg/product/EP8934-CUSA25974_00-HORRORADVENTURVR
7,"Minecraft Deluxe Collection (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Experience all the different ways to explore, survive, and build in Minecraft with Minecraft Deluxe Collection!Browse endless community created content in the Minecraft Marketplace, discover new play styles through different maps, and express yourself with Character Creator items and emotes. Gather your friends or gear up for a solo mission, you’re ready for all the many ways to play Minecraft! The Deluxe Collection includes this added content in addition to Minecraft:1600 Tokens; five maps (Skyblock One Block, Hacker Tools, Pets Collection, Parkour Spiral, and Original Bed Wars); three skin packs (Spy Mobs, Cute Anime Teens, and Cute Mob Skins), one texture pack (Clarity), five Character Creator items, and three emotes.",,"Adventure, Arcade, Unique",,https://store.playstation.com/en-sg/product/EP4433-CUSA00265_00-MINECRAFTDLUXCOL
4,Transformers Beyond Reality (English),"Welcome to the fight against the Decepticons, human! Your new exosuit and weaponry have been built using a hybrid of Cybertronian and Terran tech. Put it on so we can kick some Decepticon tail-rudder!The Decepticons have discovered an incredibly powerful but completely unstable and corrupting energy source called Synthetic Dark Energon. With this power, they can finally take over their home planet Cybertron and will destroy Earth in the process.A human up against a Decepticon is in for a world of hurt. Lucky for you Earth scientists have been working with the Autobots, reverse engineering their highly advanced Cybertonian technology and combining it with human ingenuity. The result is an incredible Exosuit and weaponry, powered by Energon, that will finally even the odds for humans to take on the Decepticons in a pitched battle.- Access advanced upgradeable Cybertronian tech designed for humans including miniguns, beam guns, swords, shields, and laser blasters.- Dynamic equipment load-outs that let players choose their preferred style of gameplay. Go full offense, defense, or a mix of both.- Challenging arcade-style gameplay with intuitive controls, high-energy action, and immediately battle-boosting power-ups.- Frenetic non-stop action battling through swarms of Insecticons.- Formidable boss battles against epic Decepticons such as Shockwave, Megatron, Starscream and Soundwave.- Highly detailed graphics and immersive gameplay that gives the sense of scale that so many generations of TRANSFORMERS fans have always wanted.- Cinematic continual action pushes forward, reducing issues with motion-sickness.- Giant Autobot allies transform, including favourites like Bumblebee, Grimlock, and Optimus Prime provide protection and destroy obstacles.- Scenic and relaxing tour of Cybertron! Ok not really relaxing since you’re taking the battle to the Decepticons on their home planet in the race to stop their ultimate weapon.Get ready to take on the Decepticons and show them who's boss in this thrilling virtual reality adventure, in anticipation of the coming new movie, available now on PSVR2. Upgrade your game for free and see the updates for yourself or start your Transformers journey for the first time. Remember, the fate of the universe rests on your shoulders, soldier!This product entitles you to download both the digital PS4™ version and the digital PS5™ version of this game.",,"Action, Arcade",7,https://store.playstation.com/en-sg/product/UP2055-PPSA13726_00-0146925864854028
21,TEKKEN 7 - Originals Edition (English),"*TEKKEN 7 (full game), TEKKEN 7 Definitive Edition, Season Passes 1-4, and DLC1-19 are also sold separately. Please be careful not to buy the same content twice.The Originals Edition includes:• TEKKEN 7 (full game)• DLC13: Frame Data Display (New Feature)• 12 Additional Character Packs- Bonus DLC: Eliza- DLC4: Anna Williams- DLC5: Lei Wulong- DLC6: Craig Marduk- DLC7: Armor King- DLC8: Julia Chang- DLC10: Zafina- DLC11: Ganryu- DLC12: Leroy Smith- DLC14: Fahkumram- DLC16: Kunimitsu- DLC18: Lidia SobieskaTHE BEST FIGHTS ARE PERSONALRaise your fists and get ready for the ultimate battle on the next generation of home consoles. Powered by the Unreal Engine 4, the storied fighting franchise returns for another round in TEKKEN 7. With the faithful 3D battle system and gameplay intact, TEKKEN 7 takes the franchise to the next level with photo-realistic graphics and new and innovative features and fighting mechanics. TEKKEN 7 resurrects the attitude, competitiveness and showmanship rooted in its arcade DNA to provide the ultimate fighting game experience.",,"Fighting, Action",,https://store.playstation.com/en-sg/product/EP0700-CUSA06014_00-ORIGINALS0000000
10,"ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition (English, Japanese)","*Included set are also available as standalone purchases. Please be aware not to make duplicate purchases.This add-on is included in one or more sets. Please be careful not to buy the same content twice.Become an ace pilot and take to photo-realistic skies in the ultimate flight and combat simulator series: ACE COMBAT. Nothing beats the feeling of soaring through the air with 360 degrees of freedom, relying on your flying and fighting instincts to take down the enemy and power through any difficulty. Based on the theme of aerial innovation, the latest installment boasts the most spectacular aerial combat yet, taking you through cloud-filled skies that bring the game to life.Download Ver. Bonus Content- Playable Aircraft: F-104C - AvrilAdd-ons included in the Season Pass:- ACE COMBAT™ 7: SKIES UNKNOWN – ADF-11F Raven Set- ACE COMBAT™ 7: SKIES UNKNOWN – ADF-01 FALKEN Set- ACE COMBAT™ 7: SKIES UNKNOWN – ADFX-01 Morgan Set- ACE COMBAT™ 7: SKIES UNKNOWN – Unexpected Visitor- ACE COMBAT™ 7: SKIES UNKNOWN – Anchorhead Raid- ACE COMBAT™ 7: SKIES UNKNOWN – Ten Million Relief PlanSeason Pass Bonus Content- Music PlayerContent included in the ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Aircraft Set -1) 6 Playable Aircraft:- F-14A Tomcat- F-14A Tomcat | Top Gun: Maverick- F/A-18E Super Hornet- F/A-18E Super Hornet | Top Gun: Maverick- 5th Gen Fighter | Top Gun: Maverick- DarkStar2) 10 Emblems3) 38 Skins4) 12 Nicknames5) 2 Music tracks for multiplayer missions8 popular Nicknames from past gamesIn addition, on PS5™ consoles: PlayStation Camera adaptor for PS Camera is required (no purchase necessary) go to Playstation.com/camera-adaptor.",,"Action, Shooter, Unique",,https://store.playstation.com/en-sg/product/EP0700-CUSA07202_00-ACE7TOPGUNMEUE22
