name,Age_rating,age_info,category,Category,privacy_policy,Report_this_product,Developed_by,Published_by,Additional_terms,In-app_purchases,support language,Language_supported,Please note,Copyright,Installation,Approximate_size,This_app_can,Seizure_warnings,Publisher_Info,Release_date,publish_info,Accessibility,origin_url,description
Typography Insight for HoloLens,Age rating|||For all ages,.,.,Category|||Education > Books & reference|||Education > Books & reference|||Education > Books & reference@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Education%5cDatabase,http://typeinsight.org/privacy.html,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/typography-insight-for-hololens/9nblggh4tkdk?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2ftypography-insight-for-hololens%2f9nblggh4tkdk%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||BRDY Studios LLC,Published by|||BRDY Studios LLC|||BRDY Studios LLC|||,Additional terms|||Typography Insight for HoloLens privacy policy Terms of transaction|||Typography Insight for HoloLens privacy policy|||Typography Insight for HoloLens privacy policy|||Typography Insight for HoloLens privacy policy@http://typeinsight.org/privacy.html||||||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,"Copyright|||(C) BRDY Studios, LLC Designed & Developed by Dong Yoon Park|||(C) BRDY Studios, LLC Designed & Developed by Dong Yoon Park|||",Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||1.18 GB,This app can|||Use your microphone Use your music library See your current and past surroundings|||Use your microphone||||||Use your music library||||||See your current and past surroundings|||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||Typography Insight for HoloLens website Typography Insight for HoloLens support|||Typography Insight for HoloLens website|||Typography Insight for HoloLens website|||Typography Insight for HoloLens website@http://typeinsight.org/||||||Typography Insight for HoloLens support|||Typography Insight for HoloLens support|||Typography Insight for HoloLens support@mailto:contact@typeinsight.org|||,Release date|||8/1/2016,.,.,.,"*** Find videos and examples from the Medium post 'Designing Typography Insight for HoloLens' ***  Types are beautiful on HoloLens. Typography Insight for HoloLens encourages you to experience, layout and play with types in mixed reality space. It will help you understand the characteristics of the types in HoloLens. ● Type Playground: Compose typographic layout in 3D space with different font, size and colors. You can use it for designing big signage on the wall or constructing experimental typographic structure in space ● Type Size Reference: Observe different type sizes in space ● Typeface Anatomy: Learn about basic terminologies and the detail elements of typefaces ● Historical typefaces: Explore historically important typefaces in 3D timeline view  Originally published to iOS in 2011, Typography Insight has been loved by design and education community. On June 2016, it has been published to Windows Store using Windows Bridge for iOS technology. ● Fast Company ""Typography Insight Is Type Design 101, For Just $1.99""(06/22/11) ● The Atlantic ""Typography Insight Teaches Fonts Like Never Before""(06/07/11) ● Gizmodo ""Typography Insight Makes Learning Fonts Gorgeous and Easy""(05/23/11) ● Presented at AIGA/NY Fresh Blood 2(06/07/11) ● No.2 Paid iPad App in Education Category ● New & Noteworthy, Staff Favorite in 85 countries"
Aircraft Explorer,Age rating|||For all ages,.,.,Category|||Education > Instructional tools|||Education > Instructional tools|||Education > Instructional tools@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Education%5cInstructional+tools,-1,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/aircraft-explorer/9nblggh4tnld?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2faircraft-explorer%2f9nblggh4tnld%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,"Developed by|||Precocity, LLC","Published by|||Precocity, LLC|||Precocity, LLC|||",Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,Copyright|||Copyright 2016 Precocity LLC|||Copyright 2016 Precocity LLC|||,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||322.69 MB,This app can|||Use your microphone See your current and past surroundings|||Use your microphone||||||See your current and past surroundings|||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||Aircraft Explorer website Aircraft Explorer support|||Aircraft Explorer website|||Aircraft Explorer website|||Aircraft Explorer website@http://www.ftrsuite.com/||||||Aircraft Explorer support|||Aircraft Explorer support|||Aircraft Explorer support@mailto:ftrsupport@precocityllc.com|||,Release date|||7/28/2016,.,.,.,"Explore seven of the most common commercial aircraft, rendered inside and out in with incredible detail."
HoloHeart,Age rating|||For all ages,.,.,Category|||Entertainment|||Entertainment|||Entertainment@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Entertainment,-1,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/holoheart/9nblggh4v0pz?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fholoheart%2f9nblggh4v0pz%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,.,Published by|||Made In Point GmbH|||Made In Point GmbH|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,Copyright|||madeinholo brand of Made In Point GmbH|||madeinholo brand of Made In Point GmbH|||,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.  This product needs to be installed on your internal hard drive.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.||||||||||||This product needs to be installed on your internal hard drive.|||,Approximate size|||187.25 MB,This app can|||Use your microphone Access your Internet connection|||Use your microphone||||||Access your Internet connection|||||||||||||||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||HoloHeart website HoloHeart support|||HoloHeart website|||HoloHeart website|||HoloHeart website@http://www.madeinholo.com/||||||HoloHeart support|||HoloHeart support|||HoloHeart support@mailto:info@madeinholo.com|||,Release date|||12/2/2016,.,.,.,Discover the heart animation to learn the power of HoloLens visualisation. Put your head inside and listen to the beating heart. Use cut tool to see slice of the heart.  _________________________________ CHECK OUT OUR NEW APP! SpaceCatcher - easy and fast 3d room scan  https://www.microsoft.com/en-us/store/p/spacecatcher/9phsnv6jtslz
Galaxy Shield - BETA,Age rating|||For all ages,.,.,Category|||Strategy|||Strategy|||Strategy@https://www.microsoft.com/en-us/store/top-paid/games/hololens?category=Strategy,-1,Report this product|||Sign in to report this game to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/galaxy-shield-beta/9nblggh4vqrb?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this game to Microsoft|||Sign in to report this game to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fgalaxy-shield-beta%2f9nblggh4vqrb%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||ManikGames,Published by|||ManikGames|||ManikGames|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||14.9 MB,This app can|||Use your microphone|||Use your microphone|||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||Galaxy Shield - BETA website Galaxy Shield - BETA support|||Galaxy Shield - BETA website|||Galaxy Shield - BETA website|||Galaxy Shield - BETA website@http://www.manikgames.com/||||||Galaxy Shield - BETA support|||Galaxy Shield - BETA support|||Galaxy Shield - BETA support@mailto:rymonday@hotmail.com|||,Release date|||5/13/2016,.,.,.,!!! IN BETA !!!  Description: You are the last resort to keep your galaxy safe from waves of incoming evil mechanical machines summoned by your galactic neighbor.  Beta Details: This is a gameplay example for defending one of the many planets within your galaxy. Currently there is only one enemy type and you are locked to the first level of each tower type. The currency system for defeating enemies and building towers is disabled so you can play with building all the different tower types in different configurations.  Once you have completed the level successfully or the planet has been overrun by your foes the level will reload.  Testing the Beta: Since there is no placing mechanism implemented currently you will want to find an empty 8x8 foot space. Then you will want to stand about 4 feet away from the center of that space and look towards the center of the space and launch the application. This will give you room to move around the planet.  Gaze at the planet and tap/drag to rotate the planet. Hand movement work like a joystick. The closer to the edge you are the faster the planet will rotate.  Gaze at a tower platform and tap to open the menu to build towers.  To start the wave of enemies (after you have built a few towers) tap to select the blue glowing shield on the planet and the round will start.
Walking Music,Age rating|||For ages 13 and up,.,.,Category|||Music|||Music|||Music@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Music,-1,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/walking-music/9nblggh4vztb?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fwalking-music%2f9nblggh4vztb%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||Eric Rehmeyer,Published by|||Eric Rehmeyer|||Eric Rehmeyer|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||182.58 MB,.,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||Walking Music support|||Walking Music support|||Walking Music support|||Walking Music support@mailto:ericrehmeyer@gmail.com|||,Release date|||5/21/2016,.,.,.,"A simple app that combines walk detection with music playback. Start walking and a song will play. Stop and so will the music!  (All music is from freemusicarchive.org, with Creative Commons licenses as noted.)"
LSrD,Age rating|||For all ages,.,.,Category|||Entertainment|||Entertainment|||Entertainment@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Entertainment,-1,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/lsrd/9nblggh4w6bg?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2flsrd%2f9nblggh4w6bg%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||Pinkwerks,Published by|||Pinkwerks|||Pinkwerks|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,Copyright|||Christopher Bonnstetter|||Christopher Bonnstetter|||,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||25.7 MB,This app can|||See your current and past surroundings|||See your current and past surroundings|||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||LSrD website LSrD support|||LSrD website|||LSrD website|||LSrD website@http://pinkwerks.com/||||||LSrD support|||LSrD support|||LSrD support@mailto:pinkwerks@gmail.com|||,Release date|||5/19/2016,.,.,.,"Little Surface Reconstruction Demo  Demonstrates alternative spatial visualization. Have fun, why not?"
HoloMeasure,Age rating|||For all ages,.,.,Category|||Utilities & tools|||Utilities & tools|||Utilities & tools@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Utilities+%26+tools,-1,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/holomeasure/9nblggh4w6fk?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fholomeasure%2f9nblggh4w6fk%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||Sebastian's Apps,Published by|||Sebastian's Apps|||Sebastian's Apps|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||13.68 MB,This app can|||Use your microphone See your current and past surroundings|||Use your microphone||||||See your current and past surroundings|||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,.,Release date|||5/19/2016,.,.,.,"A tool for measuring distances, areas, volumes and angles with holograms. (Beta)  Current Features: * Measure distances * Choose from Metric or Imperial units  Future Features: * Measure areas, volumes, and angles * Snap measurements vertically or horizontally  Directions: * Air-tap to place a point. * Place two points to measure a line * Say ""Clear"" to erase all measurements. * You can change the units by saying ""Metric"", ""Imperial"", ""Meters"", or ""Inches""."
HoloEngine,Age rating|||For all ages,.,.,Category|||Education|||Education|||Education@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Education,-1,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/holoengine/9nblggh4wkh9?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fholoengine%2f9nblggh4wkh9%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||360world Europe Kft.,Published by|||360world Europe Kft.|||360world Europe Kft.|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,Copyright|||Copyright © 2016 360world Ltd.|||Copyright © 2016 360world Ltd.|||,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||23.02 MB,This app can|||Use your webcam Use your microphone Access your Internet connection|||Use your webcam||||||Use your microphone||||||Access your Internet connection|||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||HoloEngine website HoloEngine support|||HoloEngine website|||HoloEngine website|||HoloEngine website@http://360world.eu/||||||HoloEngine support|||HoloEngine support|||HoloEngine support@mailto:info@360world.eu|||,Release date|||6/29/2016,.,.,.,"Experience a new era of Mixed Reality Aided Engineering! Mixed Reality provides a modern, natural and effective way of understanding complex 3D structures and devices.   With HoloEngine, you can see an engine floating in the air. You can start the engine, change its speed and even peek inside to see how the pistons work. The app allows you to move, rotate and even resize the engine in your environment, but you can also use your own feet to examine it from every direction. Use gestures or voice commands to control the engine.  Don't forget to try the ""About the Team"" feature, and get to know the 360world Team - at least our holographic representations!"
HoloBrush,Age rating|||For all ages,.,.,Category|||Entertainment|||Entertainment|||Entertainment@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Entertainment,-1,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/holobrush/9nblggh4wkk9?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fholobrush%2f9nblggh4wkk9%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||360world Europe Kft.,Published by|||360world Europe Kft.|||360world Europe Kft.|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,Copyright|||Copyright © 2017 - 360world Europe Ltd.|||Copyright © 2017 - 360world Europe Ltd.|||,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||83.83 MB,This app can|||Use your microphone Use your devices that support the Human Interface Device (HID) protocol|||Use your microphone||||||Use your devices that support the Human Interface Device (HID) protocol|||||||||||||||||||||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||HoloBrush website HoloBrush support|||HoloBrush website|||HoloBrush website|||HoloBrush website@http://360world.eu/||||||HoloBrush support|||HoloBrush support|||HoloBrush support@mailto:team@360world.eu|||,Release date|||4/11/2017,.,.,.,"HoloBrush - a 3D paint app for HoloLens, which allows you to draw in space!  Unleash your creativity by just drawing in the air. Our palette allows you to choose between many colors and brush sizes, undo the mistakes and select between a near/far mode for drawing. Voice commands are also available for your convenience, resulting in less interruptions in your creative process.  This app won the fifth HoloLens Challenge."
HoloBlocks,Age rating|||For all ages,.,.,Category|||Education > Early learning|||Education > Early learning|||Education > Early learning@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Education%5cEarly+Learning,http://www.decktwelve.com/privacy/,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/holoblocks/9nblggh4wp8v?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fholoblocks%2f9nblggh4wp8v%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||Deck Twelve,Published by|||Deck Twelve|||Deck Twelve|||,Additional terms|||HoloBlocks privacy policy Terms of transaction|||HoloBlocks privacy policy|||HoloBlocks privacy policy|||HoloBlocks privacy policy@http://www.decktwelve.com/privacy/||||||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.  This product needs to be installed on your internal hard drive.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.||||||||||||This product needs to be installed on your internal hard drive.|||,Approximate size|||16.46 MB,This app can|||Access your Internet connection See your current and past surroundings|||Access your Internet connection||||||See your current and past surroundings|||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||HoloBlocks website HoloBlocks support|||HoloBlocks website|||HoloBlocks website|||HoloBlocks website@http://www.decktwelve.com/blog/?tag=ProjectBlocks||||||HoloBlocks support|||HoloBlocks support|||HoloBlocks support@http://www.decktwelve.com/support/|||,Release date|||6/6/2016,.,.,.,"Build amazing structures with holographic shapes, then knock 'em down."
Ball Pit,Age rating|||For all ages,.,.,Category|||Simulation|||Simulation|||Simulation@https://www.microsoft.com/en-us/store/top-paid/games/hololens?category=Simulation,-1,Report this product|||Sign in to report this game to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/ball-pit/9nblggh4wssp?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this game to Microsoft|||Sign in to report this game to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fball-pit%2f9nblggh4wssp%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||Brent Allen,Published by|||Brent Allen|||Brent Allen|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,Copyright|||(c) 2016 Brent Allen|||(c) 2016 Brent Allen|||,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.|||,Approximate size|||14.6 MB,This app can|||Use your microphone See your current and past surroundings|||Use your microphone||||||See your current and past surroundings|||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,.,Release date|||6/6/2016,.,.,.,"Learn Gaze and Gestures while experiencing Spatial Mapping and Spatial Sound. Ball Pit is a fun and easy way to learn about the HoloLens.  Ball Pit is a simple physics simulation of plastic balls that interact with your environment. Use Gaze and Air tap to move the source of the balls wherever you like. While holding the Ready Gesture you can push the balls around with your cursor, or you can just walk in to the pile.  Ball Pit is a great introduction to HoloLens for non-technical users or as a quick demonstration. The game is intentionally simple to make it easy to explain to a first time user without seeing what they see. No menu navigation or room mapping required.   Have fun!"
Holographic Academy: Interactions,Age rating|||For all ages,.,.,Category|||Education > Instructional tools|||Education > Instructional tools|||Education > Instructional tools@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Education%5cInstructional+tools,-1,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/holographic-academy-interactions/9nblggh4wxn2?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fholographic-academy-interactions%2f9nblggh4wxn2%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||Microsoft Corporation,Published by|||Microsoft Corporation|||Microsoft Corporation|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.  This product needs to be installed on your internal hard drive.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.||||||||||||This product needs to be installed on your internal hard drive.|||,Approximate size|||36.18 MB,This app can|||Use your microphone|||Use your microphone|||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,.,Release date|||6/9/2016,.,.,.,"Holographic Academy course Holograms 210, 211, 212. Use your gaze to navigate the cursor on holograms. Find your holograms using the directional indicator around the cursor off holograms. Highlight different astronaut components using your gaze. Gaze at the center chest component and perform the air tap gesture and observe the tag along object.   Rotate the astronaut using your gestures. Say ""Move Astronaut"" voice command and move the astronaut to where it matters to you!  Gaze at the astronaut's wrist panel and say ""Open Communicator"". Record a message using voice dictation and then play it back. When ready send that message to the astronaut.  Source code available at: Holograms 210 Gaze: https://developer.microsoft.com/en-us/windows/holographic/holograms_210 Holograms 211 Gestures: https://developer.microsoft.com/en-us/windows/holographic/holograms_211 Holograms 212 Voice: https://developer.microsoft.com/en-us/windows/holographic/holograms_212"
Holographic Academy: Introduction,Age rating|||For all ages,.,.,Category|||Education > Instructional tools|||Education > Instructional tools|||Education > Instructional tools@https://www.microsoft.com/en-us/store/top-free/apps/hololens?category=Education%5cInstructional+tools,-1,Report this product|||Sign in to report this app to Microsoft||||||||||||@https://www.microsoft.com/en-us/p/holographic-academy-introduction/9nblggh4wxr0?hl=en-us&gl=us&activetab=pivot:overviewtab#||||||||||||Sign in to report this app to Microsoft|||Sign in to report this app to Microsoft|||Sign in@https://www.microsoft.com/en-us/store/signin?rru=https:%2f%2fwww.microsoft.com%2fen-us%2fp%2fholographic-academy-introduction%2f9nblggh4wxr0%3fhl%3den-us%26gl%3dus%26reportthisapp%3d1%23app-details,Developed by|||Microsoft Corporation,Published by|||Microsoft Corporation|||Microsoft Corporation|||,Additional terms|||Terms of transaction|||Terms of transaction|||Terms of transaction|||Terms of transaction@https://www.microsoft.com/en-US/store/b/terms-of-sale|||,.,.,Language supported|||English (United States)|||English (United States)|||,.,.,Installation|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.  This product needs to be installed on your internal hard drive.|||Get this app while signed in to your Microsoft account and install on up to ten Windows 10 devices.||||||||||||This product needs to be installed on your internal hard drive.|||,Approximate size|||17.1 MB,This app can|||Use your microphone See your current and past surroundings|||Use your microphone||||||See your current and past surroundings|||,Seizure warnings|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning|||Photosensitive seizure warning@https://support.xbox.com/en-US/xbox-one/console/photosensitive-seizure-warning|||,Publisher Info|||Holographic Academy: Introduction website|||Holographic Academy: Introduction website|||Holographic Academy: Introduction website|||Holographic Academy: Introduction website@https://developer.microsoft.com/en-us/windows/holographic/academy|||,Release date|||6/10/2016,.,.,.,"Holographic Academy course Holograms 101D Introduction to Device.  Use your gaze to position the cursor. Use the air tap gesture to gaze at the origami sphere and drop them. Gaze at the sphere and say ""Drop Sphere"" or ""Select"" to do the same action as air tap. Observe how they roll onto every surface using Spatial Mapping. Gaze anywhere and say ""Reset World"" to reset the spheres. Gaze at the notepad, perform the air tap and now you can place the holograms where they matter to you!"
