年龄,不支持退款,name,简介,支持退款,分类,标签,游戏形式,语言,使用范围,控制方式,支持平台,版本,更新日期,大小,开发者,发行商,开发者隐私政策,开发者服务条款,开发者网站,权限,名称,start,end
null,不支持退款申请：PICO退款政策,知天下,"简介探索世界，感受全世界旅行家们拍摄到的精彩全景，沉浸式体验多姿多彩的自然和人文。

从雄伟壮观的山脉到广袤无垠的草原，从神秘古老的文化遗产到现代繁华的城市，从清澈碧蓝的海洋到苍茫浩瀚的天空，您都可以随时畅游。
无论是喜欢探险冒险还是享受文化艺术，无论是热爱大自然还是都市繁华，您都可以找到自己的心头好。
可以攀登长城也可以漫步罗马大斗兽场，可以登上珠穆朗玛峰也可以去大堡礁海下潜水，可以去南极洲看企鹅也可以横穿撒哈拉大沙漠，可以漫步在纽约时代广场的霓虹灯下也可以飞越香港的夜空。

我从没有到过极光出现的海峡
也没有摘过沙仑的玫瑰
但我想爬上长城，漂流长江
去南极拥抱企鹅
也想飞越大金字塔
还想探索德古拉的古堡
从大峡谷漂流到羚羊谷
亲爱的你这就跟我走
穿越柏林防空塔的漫天炮火
目睹战舰在猎户座熊熊燃烧探索世界，感受全世界旅行家们拍摄到的精彩全景，沉浸式体验多姿多彩的自然和人文。

从雄伟壮观的山脉到广袤无垠的草原，从神秘古老的文化遗产到现代繁华的城市，从清澈碧蓝的海洋到苍茫浩瀚的天空，您都可以随时畅游。
无论是喜欢探险冒险还是享受文化艺术，无论是热爱大自然还是都市繁华，您都可以找到自己的心头好。
可以攀登长城也可以漫步罗马大斗兽场，可以登上珠穆朗玛峰也可以去大堡礁海下潜水，可以去南极洲看企鹅也可以横穿撒哈拉大沙漠，可以漫步在纽约时代广场的霓虹灯下也可以飞越香港的夜空。

我从没有到过极光出现的海峡
也没有摘过沙仑的玫瑰
但我想爬上长城，漂流长江
去南极拥抱企鹅
也想飞越大金字塔
还想探索德古拉的古堡
从大峡谷漂流到羚羊谷
亲爱的你这就跟我走
穿越柏林防空塔的漫天炮火
目睹战舰在猎户座熊熊燃烧",null,分类：应用,"标签：探索, 教育, 休闲",null,语言：简体中文,"使用范围：原地站立, 原地坐姿",控制方式：6-DOF 手柄,"支持平台：PICO 4 Pro, PICO 4, PICO Neo3",版本：1.0.5,更新日期：2023-7-27,大小：380.0 MB,开发者：知天下（苏州）人工智能科技有限公司,发行商：知天下（苏州）人工智能科技有限公司,开发者隐私政策：隐私政策,开发者服务条款：服务条款,开发者网站：https://www.explorerglobal.cn/,"权限：存储空间, 位置信息",知天下,2023-09-21 00:34:40,2023-09-21 00:36:53
年龄：12+,不支持退款申请：PICO退款政策,猫咪捉迷藏,"简介个人独立开发，谢谢平台和玩家支持。

游戏玩法：玩家扮演猫咪通过双手进行移动，与其他玩家进行捉迷藏追逐游戏。

丰富的地图：有森林、洞穴、沙滩等地图，地图中有不同的交互道具，如绳子、绳索，方便你在地图间穿梭跑酷。

有趣的道具和服装：玩家可以自定义猫咪的外观，包括选择喜欢的衣着和配饰等。通过个性化定制，玩家可以在游戏中成为自己喜欢的猫咪形象。

社交互动 玩家可以与其他玩家分享他们的猫咪捉迷藏经历，并在虚拟环境中与其他玩家互动。这为玩家提供了与朋友和其他猫咪爱好者交流的机会。

微信搜索azd233333加入玩家群个人独立开发，谢谢平台和玩家支持。

游戏玩法：玩家扮演猫咪通过双手进行移动，与其他玩家进行捉迷藏追逐游戏。

丰富的地图：有森林、洞穴、沙滩等地图，地图中有不同的交互道具，如绳子、绳索，方便你在地图间穿梭跑酷。

有趣的道具和服装：玩家可以自定义猫咪的外观，包括选择喜欢的衣着和配饰等。通过个性化定制，玩家可以在游戏中成为自己喜欢的猫咪形象。

社交互动 玩家可以与其他玩家分享他们的猫咪捉迷藏经历，并在虚拟环境中与其他玩家互动。这为玩家提供了与朋友和其他猫咪爱好者交流的机会。

微信搜索azd233333加入玩家群",null,分类：游戏,"标签：社交, 角色扮演, 卡通",游戏形式：多人,语言：简体中文,"使用范围：房间移动, 原地站立, 原地坐姿",控制方式：6-DOF 手柄,"支持平台：PICO 4 Pro, PICO 4, PICO Neo3, PICO Neo3 Pro",版本：1.01,更新日期：2023-9-14,大小：287.4 MB,开发者：Haha Studio,发行商：Haha Studio,开发者隐私政策：隐私政策,null,null,"权限：存储空间, 麦克风",猫咪捉迷藏,2023-09-21 00:34:38,2023-09-21 00:36:57
年龄：8+,null,拉面模拟器:一兰,"简介""拉面模拟器:一兰Counter Fight ICHIRAN ""是一款前所未有的烹饪游戏，由受欢迎的拉面店ICHIRAN提供支持。

ICHIRAN是一家著名的豚骨拉面连锁店，在日本有85家分店。它成立于60多年前，长期以来一直在完善其热门的特色豚骨拉面，这就是为什么ICHIRAN的拉面是当地最好的。事实上，它经常被媒体誉为外国游客的 ""必尝美食""。

游戏特点：
——完成订单，获得高分! 
以厨房为基础的沉浸式游戏，让你体验作为一个真正的ICHIRAN员工的生活，为你的拉面准备技能和快速交付积累分数。

——在店铺管理模式中攀升等级! 
你在商店管理模式中的得分将被记入世界排名。提高你的利润，雇佣更多的员工，增加座位数，你可以尝试用你自己独特的店面来冲击高分!

*游戏中的厨房布局可能与实际餐厅不同。
""拉面模拟器:一兰Counter Fight ICHIRAN ""是一款前所未有的烹饪游戏，由受欢迎的拉面店ICHIRAN提供支持。

ICHIRAN是一家著名的豚骨拉面连锁店，在日本有85家分店。它成立于60多年前，长期以来一直在完善其热门的特色豚骨拉面，这就是为什么ICHIRAN的拉面是当地最好的。事实上，它经常被媒体誉为外国游客的 ""必尝美食""。

游戏特点：
——完成订单，获得高分! 
以厨房为基础的沉浸式游戏，让你体验作为一个真正的ICHIRAN员工的生活，为你的拉面准备技能和快速交付积累分数。

——在店铺管理模式中攀升等级! 
你在商店管理模式中的得分将被记入世界排名。提高你的利润，雇佣更多的员工，增加座位数，你可以尝试用你自己独特的店面来冲击高分!

*游戏中的厨房布局可能与实际餐厅不同。
",支持退款申请：PICO退款政策,分类：游戏,标签：模拟,游戏形式：单人,"语言：英语, 日语","使用范围：房间移动, 原地站立, 原地坐姿","控制方式：头控, 6-DOF 手柄","支持平台：PICO Neo3 Eye, PICO Neo3, PICO Neo3 Pro, PICO 4, PICO 4 Pro",版本：1.2.0,更新日期：2022-5-13,大小：521.1 MB,开发者：Tricol VR,发行商：Tricol VR,开发者隐私政策：隐私政策,null,null,权限：存储空间,拉面模拟器:一兰,2023-09-21 00:35:36,2023-09-21 00:37:41
null,不支持退款申请：PICO退款政策,Go Now,简介Go Now 带你足不出户体验前排黄金位置，8K 3D沉浸式感受演出氛围~ 恋爱工作都烦恼，love哪有live好。这里有激情澎湃的Live House，青春洋溢的女团偶像，怦然心动的甜蜜回忆，灵动可爱的动漫宅舞......还在等什么？快来加入Go Now吧！关注微信公众号“GoNow店小二”，或加入QQ群764940719获取独家福利~Go Now 带你足不出户体验前排黄金位置，8K 3D沉浸式感受演出氛围~ 恋爱工作都烦恼，love哪有live好。这里有激情澎湃的Live House，青春洋溢的女团偶像，怦然心动的甜蜜回忆，灵动可爱的动漫宅舞......还在等什么？快来加入Go Now吧！关注微信公众号“GoNow店小二”，或加入QQ群764940719获取独家福利~,null,分类：应用,标签：视频,null,语言：简体中文,"使用范围：原地站立, 原地坐姿","控制方式：头控, 3-DOF 手柄, 凝视","支持平台：PICO Neo3, PICO Neo2, PICO Neo2 Lite, PICO Neo2 Eye, PICO G2 4k, PICO 4, PICO 4 Pro, PICO Neo3 Pro, PICO Neo3 Eye",版本：1.4.5,更新日期：2023-3-23,大小：136.4 MB,开发者：兰亭数字,发行商：兰亭数字,开发者隐私政策：隐私政策,开发者服务条款：服务条款,开发者网站：http://www.letinvr.com,"权限：存储空间, 麦克风",Go Now,2023-09-21 00:37:18,2023-09-21 00:38:50
年龄：8+,不支持退款申请：PICO退款政策,先锋：无尽旅途,"简介您将成为无尽旅程中的勇士！

《先锋：无尽旅途》是一款在天空中的悬浮岛上展开的FPS Roguelite类游戏。 在游戏里，你可以收集各种武器部件，并进行组合搭配。有些部件可以让武器伤害更高，有些反而减少优点，你需要努力寻找最佳组合。你也可以用特殊技能投掷能量球,岛上还分布着一些有用的设备可以协助你的战斗。你还可以通过你的精彩操作进行移动，避免所有攻击。

每次通关都可以得到完全不同的地图。你的每一个选择都将决定未来，永远不会有相同的地图和岛屿。就像你的武器组合一样，你的战斗经验每次都会不同。

反复挑战，打败所有怪物和boss，你会变得越来越强大。您将成为无尽旅程中的勇士！

《先锋：无尽旅途》是一款在天空中的悬浮岛上展开的FPS Roguelite类游戏。 在游戏里，你可以收集各种武器部件，并进行组合搭配。有些部件可以让武器伤害更高，有些反而减少优点，你需要努力寻找最佳组合。你也可以用特殊技能投掷能量球,岛上还分布着一些有用的设备可以协助你的战斗。你还可以通过你的精彩操作进行移动，避免所有攻击。

每次通关都可以得到完全不同的地图。你的每一个选择都将决定未来，永远不会有相同的地图和岛屿。就像你的武器组合一样，你的战斗经验每次都会不同。

反复挑战，打败所有怪物和boss，你会变得越来越强大。",null,分类：游戏,"标签：射击, 动作, 冒险",游戏形式：单人,"语言：英语, 简体中文, 日语, 韩语",null,null,null,null,null,null,null,null,null,null,null,null,先锋：无尽旅途,2023-09-21 00:36:54,2023-09-21 00:39:32
年龄：8+,null,Shave & Stuff,"简介沉浸式化身理发师和纹身师，随心所欲地使用工具，充分发挥想象力，满足客户需求，亦或是天马行空，享受纯粹的创作乐趣！成为新造型大师！ 

想给某人剃光头？没问题！
想做一个五颜六色的朋克发型吗？没问题！
想重新长出一头秀发？可以，没问题！

多种工具，任您选择：
* 理发器，用于修剪出有趣的造型
* 剃须刀，用于确保干净光洁的脸颊
* 大量的染发罐，用于创造丰富多彩的体验
* 生发剂，因为我们相信科学
* 吹风机，用于吹干头发
* 梳子，用于整理造型
* 眼镜，用于造型点缀
* 纹身模版，用于轻松制作纹身图案，增添乐趣
* 纹身枪，用于艺术表现
* 纹身清洗工具，用于皮肤护理
* 耳环，用于增添个性
* 更多有趣内容！沉浸式化身理发师和纹身师，随心所欲地使用工具，充分发挥想象力，满足客户需求，亦或是天马行空，享受纯粹的创作乐趣！成为新造型大师！ 

想给某人剃光头？没问题！
想做一个五颜六色的朋克发型吗？没问题！
想重新长出一头秀发？可以，没问题！

多种工具，任您选择：
* 理发器，用于修剪出有趣的造型
* 剃须刀，用于确保干净光洁的脸颊
* 大量的染发罐，用于创造丰富多彩的体验
* 生发剂，因为我们相信科学
* 吹风机，用于吹干头发
* 梳子，用于整理造型
* 眼镜，用于造型点缀
* 纹身模版，用于轻松制作纹身图案，增添乐趣
* 纹身枪，用于艺术表现
* 纹身清洗工具，用于皮肤护理
* 耳环，用于增添个性
* 更多有趣内容！",支持退款申请：PICO退款政策,分类：游戏,"标签：动作, 休闲, 卡通",游戏形式：单人,"语言：英语, 简体中文","使用范围：原地站立, 房间移动, 原地坐姿","控制方式：6-DOF 手柄, 头控","支持平台：PICO 4, PICO 4 Pro, PICO Neo3",版本：1.8.3cn,更新日期：2023-9-11,大小：193.2 MB,开发者：HyperVR Games,发行商：HyperVR Games,开发者隐私政策：隐私政策,开发者服务条款：服务条款,开发者网站：https://shavenstuff.com,null,Shave & Stuff,2023-09-21 00:37:56,2023-09-21 00:40:11
null,不支持退款申请：PICO退款政策,移动云VR,"简介沉浸式交互及场景给您带来全新的视觉感官体验。
海量超高清内容，畅享巨幕观影新体验；
360度全景视频，感受身临其境、近在眼前；
精选3D点播，不在影院，胜似影院；
明星互动，感受追星0距离；
直播现场，感受瞬间转移；
这么多内容，快来体验吧。沉浸式交互及场景给您带来全新的视觉感官体验。
海量超高清内容，畅享巨幕观影新体验；
360度全景视频，感受身临其境、近在眼前；
精选3D点播，不在影院，胜似影院；
明星互动，感受追星0距离；
直播现场，感受瞬间转移；
这么多内容，快来体验吧。",null,分类：应用,"标签：视频, 运动",null,语言：简体中文,"使用范围：房间移动, 原地站立, 原地坐姿",控制方式：3-DOF 手柄,"支持平台：PICO G2 4k, PICO Neo3, PICO 4, PICO G3, PICO 4 Pro, PICO G2, PICO Neo2, PICO Neo2 Eye, PICO Neo2 Lite, PICO Neo3 Pro, PICO Neo3 Eye",版本：2.2.5.4,更新日期：2023-8-1,大小：325.5 MB,开发者：移动云VR,发行商：移动云VR,开发者隐私政策：隐私政策,开发者服务条款：服务条款,null,"权限：存储空间, 相机, 麦克风",移动云VR,2023-09-21 00:39:25,2023-09-21 00:40:56
年龄：8+,null,Space Slurpies (啧啧蛇),简介你能在啧啧蛇的多彩星系存活多久？在这个多人街机游戏中，控制荧光蛇的长度和尺寸。收集尽可能多的食物，并在每个回合中存活下来，避免在快节奏的战斗中撞到自己和其他玩家。收集食物的艺术令人既满足又放松。但是，别忘了提防其他玩家，因为他们可能会试图阻截你并设置陷阱！你能在啧啧蛇的多彩星系存活多久？在这个多人街机游戏中，控制荧光蛇的长度和尺寸。收集尽可能多的食物，并在每个回合中存活下来，避免在快节奏的战斗中撞到自己和其他玩家。收集食物的艺术令人既满足又放松。但是，别忘了提防其他玩家，因为他们可能会试图阻截你并设置陷阱！,支持退款申请：PICO退款政策,分类：游戏,"标签：动作, 休闲, 太空","游戏形式：多人, 单人","语言：简体中文, 英语, 日语, 德语, 西班牙语, 法语, 意大利语, 韩语, 葡萄牙语","使用范围：房间移动, 原地站立, 原地坐姿",控制方式：6-DOF 手柄,"支持平台：PICO Neo3 Pro, PICO Neo3 Eye, PICO Neo3, PICO 4, PICO 4 Pro",版本：1.397ZH,更新日期：2022-12-26,大小：668.8 MB,开发者：Starcade Arcade LLC,发行商：Starcade Arcade LLC,开发者隐私政策：隐私政策,null,null,"权限：存储空间, 麦克风",Space Slurpies (啧啧蛇),2023-09-21 00:40:47,2023-09-21 00:42:08
年龄：8+,不支持退款申请：PICO退款政策,梦之境,简介嗨，精灵！欢迎来到这个梦境般的美丽世界。为了欢迎你的到来，我们准备了一趟驭光飞行之旅。你的VR手柄将化为法器，跟我们一起使用水球、水鞭跟水盾，以及隐藏的互动方式在花园探索。对了，传闻中的精灵圣树被恐惧侵蚀了，有些精灵伙伴也被黑暗掳去。我们非常担忧，如果在旅途中遇到一些困难，希望能借助你的力量一起营救他们，净化我们在梦之境的家。嗨，精灵！欢迎来到这个梦境般的美丽世界。为了欢迎你的到来，我们准备了一趟驭光飞行之旅。你的VR手柄将化为法器，跟我们一起使用水球、水鞭跟水盾，以及隐藏的互动方式在花园探索。对了，传闻中的精灵圣树被恐惧侵蚀了，有些精灵伙伴也被黑暗掳去。我们非常担忧，如果在旅途中遇到一些困难，希望能借助你的力量一起营救他们，净化我们在梦之境的家。,null,分类：游戏,"标签：冒险, 休闲",游戏形式：单人,"语言：英语, 简体中文, 繁体中文","使用范围：原地站立, 原地坐姿","控制方式：6-DOF 手柄, 凝视","支持平台：PICO 4 Pro, PICO 4, PICO Neo3, PICO Neo3 Pro",版本：1.0.4,更新日期：2023-4-13,大小：306.8 MB,开发者：智子 Sophon,发行商：海南创见未来科技有限公司,开发者隐私政策：隐私政策,null,null,null,梦之境,2023-09-21 00:39:50,2023-09-21 00:42:37
年龄：8+,不支持退款申请：PICO退款政策,幻鼓传奇,"简介欢迎加入官方QQ群：852791903

幻鼓传奇是一款有多种击打玩法的音乐节奏应用，你可以在【节奏竞技】中挑战更难的曲目，争取更高的分数，成为VR节奏大师。也可以在【鼓手演奏】中模拟乐队鼓手，学习不同的打法，演奏喜爱的音乐。

-节奏竞技：
适合音游竞技爱好者。不要放过每一个音符，准确地击碎他们！
该模式很容易上手，但要想拿到SSS，甚至挑战lv9以上的曲子，需要不断地练习。
我们每个季度会推出新赛季主打曲包，精心设计的音乐与谱面，让你畅享律动快感。

-鼓手演奏：
适合架子鼓、乐队爱好者。模拟架子鼓演奏，过一把乐队瘾！
该模式有一定难度，如果你没有接触过架子鼓，可以从“新手入门”曲包开始练习。
精细的打击体验，专业的鼓谱设计，让你逐步成长为一位VR灵魂鼓手。

我们是一个初创团队，致力于探索XR世界里的音乐娱乐新体验，《幻鼓传奇》是我们推出的第一款音乐节奏应用，希望大家多提意见，帮助我们一起提升产品体验。

欢迎加入官方玩家交流QQ群：852791903；官方微信号：drumlegend

我们非常欢迎有音乐专业背景、热爱音乐游戏的小伙伴加入，一起创造新颖的节奏玩法，创作带感的音乐，编写好玩的谱面。可在官方QQ群里私信“官方-大管家”。
欢迎加入官方QQ群：852791903

幻鼓传奇是一款有多种击打玩法的音乐节奏应用，你可以在【节奏竞技】中挑战更难的曲目，争取更高的分数，成为VR节奏大师。也可以在【鼓手演奏】中模拟乐队鼓手，学习不同的打法，演奏喜爱的音乐。

-节奏竞技：
适合音游竞技爱好者。不要放过每一个音符，准确地击碎他们！
该模式很容易上手，但要想拿到SSS，甚至挑战lv9以上的曲子，需要不断地练习。
我们每个季度会推出新赛季主打曲包，精心设计的音乐与谱面，让你畅享律动快感。

-鼓手演奏：
适合架子鼓、乐队爱好者。模拟架子鼓演奏，过一把乐队瘾！
该模式有一定难度，如果你没有接触过架子鼓，可以从“新手入门”曲包开始练习。
精细的打击体验，专业的鼓谱设计，让你逐步成长为一位VR灵魂鼓手。

我们是一个初创团队，致力于探索XR世界里的音乐娱乐新体验，《幻鼓传奇》是我们推出的第一款音乐节奏应用，希望大家多提意见，帮助我们一起提升产品体验。

欢迎加入官方玩家交流QQ群：852791903；官方微信号：drumlegend

我们非常欢迎有音乐专业背景、热爱音乐游戏的小伙伴加入，一起创造新颖的节奏玩法，创作带感的音乐，编写好玩的谱面。可在官方QQ群里私信“官方-大管家”。
",null,分类：游戏,"标签：音乐, 竞速, 运动",游戏形式：单人,语言：简体中文,"使用范围：原地站立, 原地坐姿",控制方式：6-DOF 手柄,"支持平台：PICO 4, PICO 4 Pro, PICO Neo3, PICO Neo3 Pro",版本：1.9.3,更新日期：2023-8-22,大小：508.7 MB,开发者：上海幻音智娱科技有限公司,发行商：上海幻音智娱科技有限公司,开发者隐私政策：隐私政策,null,null,"权限：存储空间, 麦克风",幻鼓传奇,2023-09-21 00:41:29,2023-09-21 00:43:55
年龄：12+,null,高尔夫泳池VR,"简介尊敬的 PICO 用户：
大家好！感谢您一直以来对《高尔夫泳池VR》的支持和关注。
为了支持研发成本，《高尔夫泳池VR》将在 2023年5月28日 将价格从免费调整为 24.9 元。
再次感谢您的支持和理解，我们会一如既往地努力，不断改进和优化游戏，为广大玩家带来更好的游戏体验。

体验将高尔夫球的挑战与8球池（黑球）规则相结合的独特游戏！设置在各种美丽逼真的现实环境中，体验月球的寂寞或摩天大楼顶上的肾上腺素激增！尊敬的 PICO 用户：
大家好！感谢您一直以来对《高尔夫泳池VR》的支持和关注。
为了支持研发成本，《高尔夫泳池VR》将在 2023年5月28日 将价格从免费调整为 24.9 元。
再次感谢您的支持和理解，我们会一如既往地努力，不断改进和优化游戏，为广大玩家带来更好的游戏体验。

体验将高尔夫球的挑战与8球池（黑球）规则相结合的独特游戏！设置在各种美丽逼真的现实环境中，体验月球的寂寞或摩天大楼顶上的肾上腺素激增！",支持退款申请：PICO退款政策,分类：游戏,标签：运动,游戏形式：单人,语言：英语,"使用范围：原地站立, 原地坐姿",控制方式：6-DOF 手柄,"支持平台：PICO Neo2, PICO Neo2 Eye, PICO Neo2 Lite, PICO Neo3 Pro, PICO Neo3 Eye, PICO Neo3, PICO 4, PICO 4 Pro",版本：1.3,更新日期：2021-5-10,大小：680.7 MB,开发者：Frozen Dreams,发行商：Frozen Dreams,开发者隐私政策：隐私政策,null,开发者网站：http://frozen-dreams.com/,权限：存储空间,高尔夫泳池VR,2023-09-21 00:42:24,2023-09-21 00:44:13
年龄：12+,null,动感队长：星球保卫战,"简介添加动感队长小影微信（Netvios666）即可加入“动感地带”官方群，更多动感星人等你惊喜相遇！
《动感队长：星球保卫战》是PICO首款塔防射击类VR大作，在天马行空的VR世界里，你将用特制的武器打败霸王龙，建造强大的特色防御塔，在防御塔之间穿梭射击，阻止敌人夺走奥能方块！你需要发挥你的射击技巧和战略思维，合理收集和使用资源，不断改良武器和升级防御塔，从敌人的邪恶计划中拯救地球！添加动感队长小影微信（Netvios666）即可加入“动感地带”官方群，更多动感星人等你惊喜相遇！
《动感队长：星球保卫战》是PICO首款塔防射击类VR大作，在天马行空的VR世界里，你将用特制的武器打败霸王龙，建造强大的特色防御塔，在防御塔之间穿梭射击，阻止敌人夺走奥能方块！你需要发挥你的射击技巧和战略思维，合理收集和使用资源，不断改良武器和升级防御塔，从敌人的邪恶计划中拯救地球！",支持退款申请：PICO退款政策,分类：游戏,"标签：射击, 策略, 卡通",游戏形式：单人,"语言：英语, 简体中文","使用范围：原地站立, 原地坐姿",控制方式：6-DOF 手柄,"支持平台：PICO 4, PICO Neo3, PICO Neo3 Eye, PICO Neo3 Pro, PICO 4 Pro",版本：1.6.16,更新日期：2023-7-17,大小：1.1 G,开发者：Teravision Games,发行商：杭州影核网络科技有限公司,开发者隐私政策：隐私政策,null,null,权限：存储空间,动感队长：星球保卫战,2023-09-21 00:43:12,2023-09-21 00:45:04
null,null,MultiBrush,简介在《MultiBrush》中，你可以在VR世界中完全自由地绘画。令人难以置信的各种画笔和强大的功能都能给你带来前所未有的绘画体验，激发灵感，妙新创造，赶快叫上你的小伙伴加入吧！一起创造属于你们的杰作！在《MultiBrush》中，你可以在VR世界中完全自由地绘画。令人难以置信的各种画笔和强大的功能都能给你带来前所未有的绘画体验，激发灵感，妙新创造，赶快…﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿,支持退款申请：PICO退款政策,分类：应用,"标签：教育, 放松, 休闲",null,"语言：简体中文, 英语, 日语, 韩语","使用范围：原地站立, 原地坐姿",控制方式：6-DOF 手柄,"支持平台：PICO Neo3, PICO Neo2, PICO Neo2 Lite, PICO Neo2 Eye, PICO 4, PICO 4 Pro, PICO Neo3 Pro, PICO Neo3 Eye",版本：0.130b-release,更新日期：2022-10-20,大小：235.6 MB,开发者：Rendever,发行商：Rendever,开发者隐私政策：隐私政策,null,null,"权限：存储空间, 麦克风",MultiBrush,2023-09-21 00:44:13,2023-09-21 00:46:11
年龄：16+,null,奥术黑客,"简介Arcaxer是一款第一人称视角，动作类回合制VR RPG游戏。同时支持第三人称上帝视角，拥有多姿多彩的AI人物角色的科幻仿真世界。

在大世界界面，你可以探索流程化副本，为你的角色寻找新技能和装备。你还可以进入中心世界和NPC互动，用副本掉落货币购买新物品。

尽管战斗是回合制的，但是你还是需要移动身体躲避敌人攻击。瞄准目标敌人和拿捏攻击时机也是必须的。你能登上游戏顶端么？

玩家可选择战士，盗贼或者法师等职业角色。角色升级过程中所学得的技能也跟职业息息相关。

战士：一个聚焦物理攻击的职业。
法师：一个专精辅助的游戏特殊职业。
盗贼：一个拥有改变战斗走势的职业，有用大量通用技能。Arcaxer是一款第一人称视角，动作类回合制VR RPG游戏。同时支持第三人称上帝视角，拥有多姿多彩的AI人物角色的科幻仿真世界。

在大世界界面，你可以探索流程化副本，为你的角色寻找新技能和装备。你还可以进入中心世界和NPC互动，用副本掉落货币购买新物品。

尽管战斗是回合制的，但是你还是需要移动身体躲避敌人攻击。瞄准目标敌人和拿捏攻击时机也是必须的。你能登上游戏顶端么？

玩家可选择战士，盗贼或者法师等职业角色。角色升级过程中所学得的技能也跟职业息息相关。

战士：一个聚焦物理攻击的职业。
法师：一个专精辅助的游戏特殊职业。
盗贼：一个拥有改变战斗走势的职业，有用大量通用技能。",支持退款申请：PICO退款政策,分类：游戏,"标签：角色扮演, 冒险",游戏形式：单人,"语言：简体中文, 英语","使用范围：原地坐姿, 原地站立","控制方式：头控, 6-DOF 手柄","支持平台：PICO Neo3 Pro, PICO Neo3 Eye, PICO Neo3, PICO 4, PICO 4 Pro",版本：1.37.1,更新日期：2021-7-22,大小：1.1 G,开发者：Overrun Games,发行商：Overrun Games,开发者隐私政策：隐私政策,null,null,权限：存储空间,奥术黑客,2023-09-21 00:44:50,2023-09-21 00:46:56
年龄：12+,null,桌游总动员VR,"简介四合一桌游：斗地主、中国象棋、国际象棋、飞行棋
【斗地主、中国象棋支持联机。所有游戏支持阿凡达。MR功能即将上线】
欢迎添加我们的微信：wanvr888 进入微信群与我们互动交流，更有群内定期福利礼包等你来领取！

置身于轻松欢乐的游戏大厅，拿起棋子，穿越多个精彩平行世界，来一场桌游派对吧！

你可以置身于国朝风圆桌上，与朋友们激情斗地主，也能在幽幽湖心亭与智者横马跳卒，车攻炮轰，享中国象棋之乐；或是午后与大橘猫窝在沙发里，在像素风的国际象棋竞技场里调兵遣将；抑或开启露营之旅，和动物朋友们来一场酣畅淋漓的飞行棋……丰富游戏，特色场景，多种难度，等待着你闯关进阶！

—虚拟角色相伴，沉浸式桌游体验—
·4款火热桌游一次到手：斗地主、中国象棋、国际象棋、飞行棋
·斗地主，中国象棋支持联机。所有游戏支持阿凡达。MR功能即将上线
·从新手到大师，多种难度任你选择，让你畅快开玩
·多样的游戏场景与玩法，舒适的UI交互，带来精彩绝伦的虚拟现实体验四合一桌游：斗地主、中国象棋、国际象棋、飞行棋
【斗地主、中国象棋支持联机。所有游戏支持阿凡达。MR功能即将上线】
欢迎添加我们的微信：wanvr888 进入微信群与我们互动交流，更有群内定期福利礼包等你来领取！

置身于轻松欢乐的游戏大厅，拿起棋子，穿越多个精彩平行世界，来一场桌游派对吧！

你可以置身于国朝风圆桌上，与朋友们激情斗地主，也能在幽幽湖心亭与智者横马跳卒，车攻炮轰，享中国象棋之乐；或是午后与大橘猫窝在沙发里，在像素风的国际象棋竞技场里调兵遣将；抑或开启露营之旅，和动物朋友们来一场酣畅淋漓的飞行棋……丰富游戏，特色场景，多种难度，等待着你闯关进阶！

—虚拟角色相伴，沉浸式桌游体验—
·4款火热桌游一次到手：斗地主、中国象棋、国际象棋、飞行棋
·斗地主，中国象棋支持联机。所有游戏支持阿凡达。MR功能即将上线
·从新手到大师，多种难度任你选择，让你畅快开玩
·多样的游戏场景与玩法，舒适的UI交互，带来精彩绝伦的虚拟现实体验",支持退款申请：PICO退款政策,分类：游戏,"标签：模拟, 策略, 休闲","游戏形式：单人, 多人","语言：简体中文, 英语, 德语, 法语, 西班牙语","使用范围：房间移动, 原地站立, 原地坐姿",控制方式：6-DOF 手柄,"支持平台：PICO 4, PICO Neo3, PICO 4 Pro, PICO Neo3 Pro",版本：1.17,更新日期：2023-8-17,大小：1.2 G,开发者：Suplife Games ,发行商：Suplife Games ,开发者隐私政策：隐私政策,null,开发者网站：https://vrsuplife.com/home,null,桌游总动员VR,2023-09-21 00:45:32,2023-09-21 00:48:33
