Ord,Apk_Name,Matched_Apk_Name,Type,Url,Unity_Eye_Count,Unity_Head_Count,Unity_Environment_Count,Unity_Hand_Count,Unity_Body_Count,Unity_Face_Count,Unreal_Module_Names
23,Party_On_3.4.516_FNAL,PartyOn,Unity,NUL,7,51,105,80,48,56,NUL
24,Pico_Home_4.0.248_(CN)_FNAL,支持 PICO 体感追踪器绑在腿部即可追踪全身运动姿态已有体感追踪器，去配对,Unity,NUL,73,33,31,124,54,6,NUL
25,RazeXR_0.2.4_razexr-0.2.4,VFC格斗家,Unreal,https://www.vfcgame.com/privacy-statements,NUL,NUL,NUL,NUL,NUL,NUL,"766212: no libUE4.so
817320: No main.obb.png
"
26,RazeXR_0.2.4_razexr-launcher,VFC格斗家,Unreal,https://www.vfcgame.com/privacy-statements,NUL,NUL,NUL,NUL,NUL,NUL,"777123: no lib folder
766212: no libUE4.so
817320: No main.obb.png
"
27,RecRoom_20230616_FNAL,The Room,Unity,https://netvios.163.com/privacy.html,-1,-1,-1,-1,-1,-1,NUL
28,SuperHot_1.97,SUPERHOT VR,Unity,https://superhotgame.com/privacy-policy,9,51,16,77,102,14,NUL
29,Tribe XR｜在VR世界变身DJ（有com文件夹）_TribeXR_0.10.0-EU(5.3.x),Tribe XR | 在VR世界变身DJ,Unreal,NUL,NUL,NUL,NUL,NUL,NUL,NUL,"817320: No main.obb.png
"
30,VFC_25.3_32_FNAL,VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,38,81,13,410,67,10,NUL
31,VFC格斗家  VFC_30_FNAL,VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,43,81,13,418,67,10,NUL
32,VR切方块体验版_1.2.4,VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,77,20,4,27,6,1,NUL
33,VR办公Immersed_1.9.99_FNAL,VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,31,6,31,112,8,3,NUL
34,VR解剖平台Human_Anatomy_VR_2023.12.2_FNAL,VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,0,9,1,15,23,4,NUL
35,VR驾校VR_Driving_School_4.1_FNAL(5.3.x),VR驾校新版,Unity,NUL,0,4,1,15,7,0,NUL
36,VeeR 未来岛VeeRLand_3.0.9_(CN)_FNAL,VeeR 未来岛,Unity,NUL,1,55,19,118,23,7,NUL
37,Wave_Your_Blade_In_Dance_3.1,Wonderglade,Unity,https://www.resolutiongames.com/privacy,0,4,0,1,4,0,NUL
38,Wind Wind（有com文件夹）_WindWind_1.02(5.3.x),Wind Wind,Unity,http://intranet.eliot.co.kr/file/CCPA.html,77,24,9,100,33,9,NUL
39,X-Fitness_4.24,X-Fitness,Unity,https://x-fitness.x-kod.pl/,0,8,0,24,1,0,NUL
40,XFitness_4.31_FNAL,X-Fitness,Unity,https://x-fitness.x-kod.pl/,0,8,0,24,1,0,NUL
41,X战机拳击 X-Fighter(5.6.x)_1.16_FNAL,VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,3,7,1,77,20,0,NUL
42,ZOSU_Gallery_Smash_1.207,激燃快鼓Smash Drums,Unity,https://privacy.smashdrums.com/,2,11,6,98,20,5,NUL
43,ZRace_0.3.12_490_VTX(5.3.x),Z-Race,Unity,https://xocus.co/privacy-policy-eng,1,6,4,15,7,6,NUL
44,《末世曙光》《行尸走肉：圣徒与罪人 – 第1章》（有com文件夹）_TWD_SS_CH1,末世曙光 2,Unreal,https://skydance.com/sdi-privacypolicy-cn/,NUL,NUL,NUL,NUL,NUL,NUL,"817320: No main.obb.png
"
45,一帧VR  One_Frame_VR_1.6.2_(CN)_FNAL,一帧VR,Unity,NUL,15,2,108,5,19,4,NUL
46,一锤进洞PUTTZZLE_1.009_FNAL,一锤进洞,Unity,https://pixelitygames.com/privacy-policy/,0,4,0,75,6,1,NUL
47,上帝的茶Tea_For_God_0.8.1,VFC格斗家,Unreal,https://www.vfcgame.com/privacy-statements,NUL,NUL,NUL,NUL,NUL,NUL,"766212: no libUE4.so
817320: No main.obb.png
"
48,不朽的遗产：翡翠密码（有com文件夹）_不朽的遗产_ImmortalLegacyVR_1.4,不朽的遗产：翡翠密码,Unity,http://immortallegacy.wansuiyouxi.net/PrivacyPolicy/CH.html,14,28,12,270,105,10,NUL
49,不说话的娃娃TheSilentDoll_1.19_FAVTX(5.3.x),不说话的娃娃,Unity,http://dxvr321.com/privacy,70,30,27,44,17,2,NUL
50,东京时笼Tokyo_Chronos_1.0.6_FNAL(5.3.x),东京时笼,Unity,http://www.ultizen.com/TokyoChronosPrivacyPolicy.htm,11,14,11,26,18,7,NUL
51,中世纪射箭Arrowhead-Medieval_Archery_VR_1.0.2_FNAL(5.3.x),VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,0,2,0,31,4,2,NUL
52,为上帝献茶Tea_for_God_0.8.1_304,VFC格斗家,Unreal,https://www.vfcgame.com/privacy-statements,NUL,NUL,NUL,NUL,NUL,NUL,"766212: no libUE4.so
817320: No main.obb.png
"
53,乐动未来Mutrix（有com文件夹）_Mutrix_1.2.0_FNAL,乐动未来·音计划,Unity,http://www.7uvr.com/yin-si-zheng-ce/,1,1,0,19,0,0,NUL
54,乒乓：致胜11分Eleven_4.36.16.309外服,乒乓：致胜11分,Unity,https://elevenvr.com/en/privacy/,22,7,2,23,6,3,NUL
55,乒乓：致胜11分Eleven_Pico_0.258.2_HTS,乒乓：致胜11分,Unity,https://elevenvr.com/en/privacy/,22,7,2,23,6,3,NUL
56,九月的晚餐Sep's_Diner_12650_FNAL,9月的晚餐,Unity,NUL,13,9,20,97,24,0,NUL
57,乡镇故事(5.6.x)_ATownship_Tale_1.5.2.0.39512_FNAL_A_Township_Tale_1.5.2.0.39512_FNAL,A Fisherman's Tale,Unity,https://vertigo-games.com/privacy-policy/,-1,-1,-1,-1,-1,-1,NUL
58,云大陆 迷你高尔夫Cloudlands_2_1.31_35_FNAL(5.3.x),Cloudlands 2,Unity,http://futuretown.io/index.php/privacy-policy/,83,23,28,48,17,1,NUL
59,亚利桑那阳光（有com文件夹）_亚利桑那阳光_ArizonaSunshine_1.6.21896(5.3.x),亚利桑那阳光®,Unity,https://vertigo-games.com/privacy-policy/,3,33,20,170,38,13,NUL
60,亡灵游侠 至死亡 解脱In_Death_Unchained_1.2.0_FNAL,亡灵游侠：解脱,Unreal,http://superbright.org/Privacy%20Policy%20CN.html,NUL,NUL,NUL,NUL,NUL,NUL,"GeometryMode
VaRestPlugin
Niagara
LevelSequenceEditor
ApexDestructionEditor
FeedbackFileEditor
FacialAnimationEditor
BspMode
NiagaraEditor
HapticsManager
GooglePAD
MatineeToLevelSequence
PICOXRDPHMD
OpenXREyeTracker
OodleDataCompressionFormat
LadyBugTrackerEditor
ActorLayerUtilities
FootageRecorder
PICOXRDPInput
LiveLinkMovieScene
SuperbrightBackend
OpenExrWrapper
TextureAlignMode
ChaosNiagara
PlayFabCpp
NiagaraAnimNotifies
AISupportModule
ExampleDeviceProfileSelector
ApexDestruction
AnalyticsBlueprintLibrary
AndroidDeviceProfileSelector
SynthesisEditor
PlayFabCommon
RuntimePhysXCooking
AndroidMediaFactory
PluginUtils
AssetManagerEditor
AndroidMediaEditor
MotoSynth
LiveLinkSequencer
SuperbrightBackendEditor
EditableMesh
Superbright
Synthesis
ExrReaderGpu
MeshPaintingToolset
ProceduralMeshComponentEditor
AudioSynesthesia
LiveLink
OpenXRHMD
VariantManagerContentEditor
AudioSynesthesiaCore
GooglePADEditor
OnlineBlueprintSupport
PICOXRMRC
ActorSequence
TakeSequencer
ChaosCloth
CameraShakePreviewer
MotoSynthEditor
LadyBugTrackerDeveloper
ProceduralMeshComponent
OneSkyLocalizationService
PICOXRInput
WmfMediaFactory
LightPropagationVolumeRuntime
AndroidDeviceProfileSelectorRuntime
PythonScriptPlugin
GeometricObjects
TakeTrackRecorders
ActorSequenceEditor
LadyBugTrackerRuntime
PropertyAccessEditor
OculusAudioEditor
PICOXRHMD
ImgMedia
PlanarCut
TemplateSequence
OnlineSubsystemUtils
OpenXRInput
LiveLinkComponents
ImgMediaFactory
WmfMedia
WmfMediaEditor
ChunkDownloader
GameplayCameras
LiveLinkGraphNode
OnlineSubsystemNull
FractureEditor
ImgMediaEngine
LocationServicesBPLibrary
AndroidMedia
NiagaraVertexFactories
EditorScriptingUtilities
TakesCore
VariantManagerContent
TemplateSequenceEditor
PythonScriptPluginPreload
FacialAnimation
UObjectPlugin
AndroidPermission
OnlineSubsystem
MeshPaintEditorMode
OpenXRHandTracking
OpenXRAR
LiveLinkEditor
TakeMovieScene
ImgMediaEditor
EnvironmentQueryEditor
AssetTags
OnlineSubsystemPico
OpenXREditor
MeshConversion
NiagaraCore
PrefabAsset
PlayFab
NiagaraEditorWidgets
OodleNetworkHandlerComponent
TakeRecorder
GeometryAlgorithms
PrefabAssetEditor
NiagaraShader
OculusAudio
AudioSynesthesiaEditor
GameAnalytics
LightPropagationVolumeEditor
ActorLayerUtilitiesEditor
TakeRecorderSources
CableComponent
Solfar
SoundFields
IslandMergingTool
ChaosClothEditor
VaRestEditorPlugin
GameAnalyticsEditor
DynamicMesh
AndroidMoviePlayer
"
61,亡灵游侠_解脱(5.6.x)_In_Death_Unchained_1.1.2_FNAL,亡灵游侠：解脱,Unreal,http://superbright.org/Privacy%20Policy%20CN.html,NUL,NUL,NUL,NUL,NUL,NUL,"GeometryMode
VaRestPlugin
Niagara
AutoSizeComments
LevelSequenceEditor
ApexDestructionEditor
FeedbackFileEditor
FacialAnimationEditor
BspMode
NiagaraEditor
HapticsManager
GooglePAD
MatineeToLevelSequence
BlueprintAssist
PICOXRDPHMD
OpenXREyeTracker
OodleDataCompressionFormat
LadyBugTrackerEditor
ActorLayerUtilities
FootageRecorder
PICOXRDPInput
LiveLinkMovieScene
SuperbrightBackend
OpenExrWrapper
TextureAlignMode
ChaosNiagara
PlayFabCpp
NiagaraAnimNotifies
AISupportModule
ExampleDeviceProfileSelector
ApexDestruction
AnalyticsBlueprintLibrary
AndroidDeviceProfileSelector
SynthesisEditor
PlayFabCommon
RuntimePhysXCooking
AndroidMediaFactory
PluginUtils
AssetManagerEditor
AndroidMediaEditor
MotoSynth
LiveLinkSequencer
SuperbrightBackendEditor
EditableMesh
Superbright
Synthesis
ExrReaderGpu
MeshPaintingToolset
ProceduralMeshComponentEditor
AudioSynesthesia
LiveLink
OpenXRHMD
VariantManagerContentEditor
AudioSynesthesiaCore
GooglePADEditor
OnlineBlueprintSupport
PICOXRMRC
ActorSequence
TakeSequencer
ChaosCloth
CameraShakePreviewer
MotoSynthEditor
LadyBugTrackerDeveloper
ProceduralMeshComponent
OneSkyLocalizationService
PICOXRInput
WmfMediaFactory
LightPropagationVolumeRuntime
AndroidDeviceProfileSelectorRuntime
PythonScriptPlugin
GeometricObjects
TakeTrackRecorders
ActorSequenceEditor
LadyBugTrackerRuntime
PropertyAccessEditor
OculusAudioEditor
PICOXRHMD
ImgMedia
PlanarCut
TemplateSequence
OnlineSubsystemUtils
OpenXRInput
LiveLinkComponents
ImgMediaFactory
WmfMedia
WmfMediaEditor
ChunkDownloader
GameplayCameras
LiveLinkGraphNode
OnlineSubsystemNull
FractureEditor
ImgMediaEngine
LocationServicesBPLibrary
AndroidMedia
NiagaraVertexFactories
EditorScriptingUtilities
TakesCore
VariantManagerContent
TemplateSequenceEditor
PythonScriptPluginPreload
FacialAnimation
UObjectPlugin
AndroidPermission
OnlineSubsystem
MeshPaintEditorMode
OpenXRHandTracking
OpenXRAR
LiveLinkEditor
TakeMovieScene
ImgMediaEditor
EnvironmentQueryEditor
AssetTags
OnlineSubsystemPico
OpenXREditor
MeshConversion
NiagaraCore
PrefabAsset
PlayFab
NiagaraEditorWidgets
OodleNetworkHandlerComponent
TakeRecorder
GeometryAlgorithms
PrefabAssetEditor
NiagaraShader
OculusAudio
AudioSynesthesiaEditor
GameAnalytics
LightPropagationVolumeEditor
ActorLayerUtilitiesEditor
TakeRecorderSources
CableComponent
Solfar
SoundFields
IslandMergingTool
ChaosClothEditor
VaRestEditorPlugin
GameAnalyticsEditor
DynamicMesh
AndroidMoviePlayer
"
62,仙人掌战争Cactus_Cowboy_-_Plants_At_War_1.2.3PP_仙人掌战争Cactus_Cowboy-Plants_At_War,SimplePlanes VR,Unity,https://jundroo.com/privacypolicychinese.html,0,5,0,58,10,0,NUL
63,传奇猎人Legendary_Hunter_VR_1.9_FNAL,传奇猎人VR,Unreal,http://frozen-dreams.com/privacy-policy-lh-ch/,NUL,NUL,NUL,NUL,NUL,NUL,"WebMMediaFactory
FacialAnimationEditor
OnlineSubsystemGooglePlay
AutomationUtils
GeometryCacheSequencer
PaperSpriteSheetImporter
PhysXVehiclesEditor
OpenExrWrapper
UdpMessaging
AISupportModule
ExampleDeviceProfileSelector
AndroidDeviceProfileSelector
Paper2D
PlatformCryptoSwitch
RuntimePhysXCooking
AndroidMediaFactory
SmartSnapping
Paper2DEditor
PlatformCryptoOpenSSL
AssetManagerEditor
AndroidMediaEditor
PicoMobile
EditableMesh
ProceduralMeshComponentEditor
GeometryCacheEd
VariantManagerContentEditor
TcpMessaging
OnlineBlueprintSupport
AlembicImporter
ActorSequence
BackChannel
AudioCapture
SteamShared
AppleImageUtils
ProceduralMeshComponent
MobilePatchingUtils
LightPropagationVolumeRuntime
AnimationSharingEd
AndroidDeviceProfileSelectorRuntime
ActorSequenceEditor
CustomMeshComponent
ArchVisCharacter
MediaCompositing
ImgMedia
PicoNeoController
OnlineSubsystemUtils
OnlineSubsystemSteam
ImgMediaFactory
MediaCompositingEditor
OnlineSubsystemNull
PaperTiledImporter
PhysXVehicles
LocationServicesBPLibrary
DatasmithContent
AndroidMedia
WebMMediaEditor
CharacterAI
AudioCaptureEditor
VariantManagerContent
FacialAnimation
UObjectPlugin
AndroidPermission
OnlineSubsystem
ImgMediaEditor
AutomationUtilsEditor
AssetTags
AlembicLibrary
PlatformCryptoBCrypt
OnlineSubsystemPico
AnimationSharing
PlatformCrypto
NetcodeUnitTest
GeometryCache
PicoMobileController
GoogleCloudMessaging
ScreenshotTools
SignificanceManager
WebMMedia
LightPropagationVolumeEditor
AppleImageUtilsBlueprintSupport
CableComponent
PlatformCryptoTypes
GeometryCacheTracks
DatasmithContentEditor
AndroidMoviePlayer
"
64,体育训练生Rezzil_Player_1.1.0_FNAL(5.3.x),体育训练生,Unity,NUL,61,14,4,62,5,0,NUL
65,侏罗纪世界（有com文件夹）_侏罗纪世界Jurassic_World-Aftermath_3.15,侏罗纪世界：风波再起,Unity,https://coatsink.com/privacy-policy,19,14,30,140,3,4,NUL
66,俄罗斯转盘Bullet_Roulette_1.1_FNAL(5.3.x),VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,78,27,18,200,47,2,NUL
67,保护方舟ARK-ADE_1.2_ARK-ADE_1.2_FNAL,ARK-ADE,Unreal,https://castelloinc.it/wp-content/uploads/2021/09/Castello-inc-Privacy-Policy.pdf,NUL,NUL,NUL,NUL,NUL,NUL,"817320: No main.obb.png
"
68,像素撕裂1995Pixel_Ripped_1995_106_FNAL(5.3.x),像素撕裂1995,Unity,https://arvore.io/terms-of-service/,61,19,9,56,9,5,NUL
69,僵尸 爆头ZombielandVR_1.6.4_3428,Cloudlands 2,Unity,http://futuretown.io/index.php/privacy-policy/,0,0,0,0,0,0,NUL
70,僵尸之地：弹无虚发ZombielandVR_1.6.4_2450_FAVTX(5.3.x),僵尸之地：弹无虚发,Unity,https://www.xrgames.io/privacy-policy-and-terms-of-service,0,0,0,0,0,0,NUL
71,僵尸双重打击Drop_Dead-Dual_Strike_1.5.0_PICO_1.0.5_FNAL,末世尸潮：双重打击,Unity,https://soulassembly.com/terms-of-service-cn/,27,50,27,173,104,37,NUL
72,僵尸双重打击Drop_Dead_Dual_Strike_1.5.0(5.3.x),末世尸潮：双重打击,Unity,https://soulassembly.com/terms-of-service-cn/,17,45,26,159,95,15,NUL
73,元宇宙书店Meta_Book_Store_0.945_(CN)_FNAL,元宇宙书店,Unity,NUL,4,14,3,13,7,0,NUL
74,元宇宙商务Engage_3.2_FNAL,VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,42,75,31,147,90,46,NUL
75,元视界Metavision_1.2.2_(CN)_FNAL,METASEE,Unity,NUL,0,0,0,11,0,0,NUL
76,先锋：无尽旅途Pioneer-Endless_Journey_0.5.10C_FNAL,Aery - A Journey Beyond Time VR,Unity,https://www.epixrgames.com/privacypolicy,11,6,9,60,15,0,NUL
77,光之乐团 中文LightBand_2.0.4_(CN)_FNAL,光之乐团,Unity,https://vgrdmilpea.feishu.cn/docx/BBmbd83oPos9coxNLh7cycoqnzc,0,17,4,84,14,7,NUL
78,光之乐团：舞步模式Lightband-Feetsaber_2.0.0_(CN)_FNAL,光之乐团,Unity,https://vgrdmilpea.feishu.cn/docx/BBmbd83oPos9coxNLh7cycoqnzc,0,11,2,83,14,7,NUL
79,光剑节奏BeatSabreClone_Chinese_FNAL(5.3.x),PowerBeatsVR,Unity,https://www.powerbeatsvr.com/privacy-policy/,0,4,0,1,4,0,NUL
80,全息训练Holofit_3.1.0.10_FNAL_Holofit_3.1.0.10_FNAL,全息训练,Unity,https://bit.ly/3KvejHq,0,11,0,32,7,0,NUL
81,全民王八拳Power_Punch_1.0.4_FNAL(5.3.x),全民王八拳,Unity,https://www.horizonsports.world/4,0,8,23,57,3,16,NUL
82,冒险物语烟之歌Song_in_the_Smoke_1.5.3_FAVTX(5.3.x),冒险物语：烟之歌,Unreal,https://www.songinthesmoke.com/faq/privacy-policy-terms-service,NUL,NUL,NUL,NUL,NUL,NUL,"AudiokineticTools
AnimationSharingEd
LightPropagationVolumeRuntime
PythonScriptPlugin
AndroidDeviceProfileSelectorRuntime
WebMMediaFactory
SoundUtilitiesEditor
AndroidPermission
OnlineSubsystem
RuntimePhysXCooking
SkeletalMeshReduction
AndroidMediaFactory
ActorSequenceEditor
ImgMediaEditor
SpatializationEditor
AssetTags
MatineeToLevelSequence
AkAudio
MissionObjectives
AssetManagerEditor
OnlineSubsystemPico
AndroidMediaEditor
OpenVRExpansionPlugin
MediaCompositing
AnimationSharing
ImgMedia
OnlineSubsystemUtils
PicoXRInput
SoundUtilities
Spatialization
DragonIKPluginEditor
ImgMediaFactory
MediaCompositingEditor
ProceduralMeshComponentEditor
VertexAnimToolset
PicoXRHMD
PicoXRMRC
AndroidMedia
WebMMediaEditor
NativizedAssets
OnlineBlueprintSupport
SignificanceManager
AssetBatchEdit
WebMMedia
LightPropagationVolumeEditor
ActorSequence
OpenExrWrapper
CharacterAI
DragonIKPlugin
InstanceTool
EditorScriptingUtilities
VertexAnimToolsetEditor
AISupportModule
ExampleDeviceProfileSelector
ProceduralMeshComponent
PythonScriptPluginPreload
MobilePatchingUtils
MissionObjectivesEditor
AndroidMoviePlayer
AndroidDeviceProfileSelector
"
83,农用拖拉机(5.6.x)_Farming_Tractor_0.4_FNAL,VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,3,8,3,93,27,0,NUL
84,冥想Solas_VR_1.3,VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,0,0,0,3,0,1,NUL
85,决赛足球VR Final_Soccer_PRO_1.22_FNAL,Final Soccer PRO,Unity,NUL,9,5,0,4,14,19,NUL
86,刀剑风暴Ironlights_143_FNAL(5.3.x),刀剑风暴,Unity,https://www.archiactvr.com/website-privacy-policy,74,31,9,229,34,1,NUL
87,创世神Deisim_1.40_FNAL,VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,1,1,1,31,15,0,NUL
88,剑与魔法（有com文件夹）_BladeAndSorcery_0.12.2_FNAL,剑与魔法,Unity,https://warpfrog.com/privacy-policy/,0,1,0,0,0,0,NUL
89,剑与魔法：游牧民族Blade_And_Sorcery-Nomad_0.12.2_Blade_And_Sorcery-Nomad_0.12.2_01,剑与魔法,Unity,https://warpfrog.com/privacy-policy/,0,1,0,0,0,0,NUL
90,功夫节奏_KungFuBeat_48,功夫节奏,Unity,https://www.hbx.plus/pico/KungFuBeatCH.html,0,1,0,23,0,0,NUL
91,动感队长：星球保卫战Captain_Toonhead_NeonFuryVR_1.6.13,动感队长：星球保卫战,Unreal,NUL,NUL,NUL,NUL,NUL,NUL,NUL,"GeometryMode
WebMMediaFactory
LevelSequenceEditor
FacialAnimationEditor
BspMode
GooglePAD
MatineeToLevelSequence
OnlineSubsystemGooglePlay
AutomationUtils
OodleDataCompressionFormat
GeometryCacheSequencer
ActorLayerUtilities
FMODStudioEditor
PaperSpriteSheetImporter
LiveLinkMovieScene
PhysXVehiclesEditor
OpenExrWrapper
TextureAlignMode
UdpMessaging
AISupportModule
ExampleDeviceProfileSelector
AnalyticsBlueprintLibrary
SynthesisEditor
Paper2D
RuntimePhysXCooking
PICOXREditor
AndroidMediaFactory
SmartSnapping
Paper2DEditor
PluginUtils
AssetManagerEditor
PlatformCryptoOpenSSL
AndroidMediaEditor
MotoSynth
LiveLinkSequencer
ResonanceAudioEditor
EditableMesh
Synthesis
ExrReaderGpu
MeshPaintingToolset
ProceduralMeshComponentEditor
GeometryCacheEd
AudioSynesthesia
LiveLink
SpeedTreeImporter
VariantManagerContentEditor
AudioSynesthesiaCore
TcpMessaging
GooglePADEditor
OnlineBlueprintSupport
ResonanceAudio
AlembicImporter
PICOXRMRC
ActorSequence
BackChannel
AudioCapture
TakeSequencer
SteamShared
ChaosCloth
CameraShakePreviewer
AppleImageUtils
MotoSynthEditor
ProceduralMeshComponent
MobilePatchingUtils
PICOXRInput
LightPropagationVolumeRuntime
AnimationSharingEd
GeometricObjects
TakeTrackRecorders
ActorSequenceEditor
CustomMeshComponent
PropertyAccessEditor
ArchVisCharacter
PICOXRHMD
MediaCompositing
ImgMedia
PlanarCut
TemplateSequence
OnlineSubsystemUtils
OnlineSubsystemSteam
LiveLinkComponents
ImgMediaFactory
MediaCompositingEditor
ChunkDownloader
GameplayCameras
LiveLinkGraphNode
GeometryCacheStreamer
PaperTiledImporter
OnlineSubsystemNull
FractureEditor
ImgMediaEngine
PhysXVehicles
FMODStudio
LocationServicesBPLibrary
DatasmithContent
AndroidMedia
WebMMediaEditor
CharacterAI
AudioCaptureEditor
EditorScriptingUtilities
TakesCore
VariantManagerContent
TemplateSequenceEditor
FacialAnimation
UObjectPlugin
AndroidPermission
OnlineSubsystem
MeshPaintEditorMode
PicoSpatialAudio
LiveLinkEditor
TakeMovieScene
ImgMediaEditor
AutomationUtilsEditor
EnvironmentQueryEditor
AssetTags
AlembicLibrary
PlatformCryptoBCrypt
OnlineSubsystemPico
MeshConversion
AnimationSharing
AnimationBudgetAllocator
PlatformCrypto
GeometryCache
OodleNetworkHandlerComponent
TakeRecorder
GeometryAlgorithms
GoogleCloudMessaging
ScreenshotTools
AudioSynesthesiaEditor
GameAnalytics
SignificanceManager
PicoSpatialAudioEditor
WebMMedia
LightPropagationVolumeEditor
ActorLayerUtilitiesEditor
AppleImageUtilsBlueprintSupport
TakeRecorderSources
CableComponent
PlatformCryptoTypes
SoundFields
GeometryCacheTracks
ChaosClothEditor
DatasmithContentEditor
GameAnalyticsEditor
DynamicMesh
AndroidMoviePlayer
"
92,动感音旅Audio_Trip_1.0.3398_332_FAVTX(5.3.x),动感音旅,Unity,http://www.kinemotik.com/audiotrip/at-eula/,1,10,2,96,30,8,NUL
93,卡丁车世界（有com文件夹）_卡丁车世界DashDash_World_4.0.5_FNAL,激燃快鼓Smash Drums,Unreal,https://privacy.smashdrums.com/,NUL,NUL,NUL,NUL,NUL,NUL,"817320: No main.obb.png
"
94,卡通消消乐Jentrix_1.1.0_FNAL,VFC格斗家,Unity,https://www.vfcgame.com/privacy-statements,12,3,6,43,19,0,NUL
95,危机行动队2(5.6.x)_Crisis_Brigade_2_2.07_FNAL_Crisis_Brigade_2_2.07_FNAL,危机行动队2,Unity,https://crisisbrigade.com/eula.html,0,26,3,75,25,8,NUL
96,危机行动队Crisis_VRigade_1.27_FNAL(5.3.x),危机行动队2,Unity,https://crisisbrigade.com/eula.html,0,9,6,55,1,8,NUL
97,原始猎人（有com文件夹）_Primal_Hunt_0.015_2023_02_13_249231_FNAL(5.3.x),原始猎人,Unity,https://www.primalhuntvr.com/terms-of-service,25,70,14,239,59,19,NUL
